id,Avaliacao,Valor
C210987,P1,6.6
C210987,P2,0.2
C210987,TR,2.4
C210987,LT,5.2
C476201,P1,7.2
C476201,P2,6.7
C476201,TR,3.5
C476201,LT,1.4
C026318,P1,6
C026318,P2,2.1
C026318,TR,9.1
C026318,LT,4
C342650,P1,6.1
C342650,P2,7.3
C342650,TR,8.7
C342650,LT,7.2
C479805,P1,5.8
C479805,P2,3.3
C479805,TR,2.7
C479805,LT,5.9
C378625,P1,5.6
C378625,P2,2.6
C378625,TR,4.8
C378625,LT,7.9
C954367,P1,5.6
C954367,P2,4.4
C954367,TR,4.8
C954367,LT,0.4
C480723,P1,6.4
C480723,P2,3.3
C480723,TR,5.6
C480723,LT,7.1
C036179,P1,6
C036179,P2,1.8
C036179,TR,8.1
C036179,LT,1.2
C951437,P1,7.1
C951437,P2,NA
C951437,TR,8
C951437,LT,7.9
C397208,P1,6.3
C397208,P2,4.7
C397208,TR,6.4
C397208,LT,3.2
C180467,P1,6.5
C180467,P2,6.6
C180467,TR,3.4
C180467,LT,7.5
C913587,P1,4.6
C913587,P2,1.5
C913587,TR,3.3
C913587,LT,0.3
C538260,P1,4.6
C538260,P2,5
C538260,TR,7.9
C538260,LT,5.4
C154379,P1,7
C154379,P2,6.8
C154379,TR,4.3
C154379,LT,7.4
C643592,P1,6.6
C643592,P2,2.6
C643592,TR,3.1
C643592,LT,7.7
C409237,P1,6.9
C409237,P2,5.2
C409237,TR,6.6
C409237,LT,0
C497835,P1,5.2
C497835,P2,4.9
C497835,TR,2.1
C497835,LT,0.8
C273465,P1,5.7
C273465,P2,2.8
C273465,TR,7.4
C273465,LT,5.4
C824013,P1,4.9
C824013,P2,6.6
C824013,TR,6.7
C824013,LT,1.6
C302568,P1,6.4
C302568,P2,4.9
C302568,TR,5.6
C302568,LT,4.2
C402819,P1,6
C402819,P2,6.7
C402819,TR,7
C402819,LT,2.5
C481269,P1,4
C481269,P2,4.3
C481269,TR,6.9
C481269,LT,8.8
C760231,P1,6.7
C760231,P2,8.7
C760231,TR,3.2
C760231,LT,4.9
C705624,P1,7
C705624,P2,10
C705624,TR,7.2
C705624,LT,0.3
C290175,P1,5.9
C290175,P2,1.4
C290175,TR,7.2
C290175,LT,1.1
C074965,P1,6
C074965,P2,5.7
C074965,TR,5.6
C074965,LT,6.5
C624807,P1,6.4
C624807,P2,3.3
C624807,TR,9.6
C624807,LT,5.6
C079286,P1,6.1
C079286,P2,4.1
C079286,TR,9.5
C079286,LT,0.5
C246351,P1,6.5
C246351,P2,4.4
C246351,TR,10
C246351,LT,3
C156790,P1,4.1
C156790,P2,5.5
C156790,TR,4.4
C156790,LT,4.3
C780196,P1,5.9
C780196,P2,6.4
C780196,TR,5.6
C780196,LT,4
C470352,P1,7.2
C470352,P2,4
C470352,TR,7.1
C470352,LT,9.1
C230691,P1,4.4
C230691,P2,5.4
C230691,TR,8.2
C230691,LT,5
C276583,P1,6.6
C276583,P2,2.7
C276583,TR,7.8
C276583,LT,7.2
C872306,P1,6.3
C872306,P2,5
C872306,TR,5.1
C872306,LT,7.1
C274508,P1,7.5
C274508,P2,5.7
C274508,TR,6.4
C274508,LT,3.1
C614587,P1,6.5
C614587,P2,5.3
C614587,TR,2.9
C614587,LT,2.4
C438062,P1,4.8
C438062,P2,3.8
C438062,TR,10
C438062,LT,1.3
C592608,P1,6.5
C592608,P2,5.2
C592608,TR,5.5
C592608,LT,5.8
C861947,P1,5.5
C861947,P2,4.3
C861947,TR,9.7
C861947,LT,4.1
C214790,P1,5.8
C214790,P2,4.4
C214790,TR,5.7
C214790,LT,2.8
C805697,P1,4.9
C805697,P2,7.7
C805697,TR,7.7
C805697,LT,1.4
C198532,P1,7
C198532,P2,4.7
C198532,TR,7.8
C198532,LT,6.7
C180325,P1,5.8
C180325,P2,8.8
C180325,TR,5.4
C180325,LT,0.6
C934510,P1,5.7
C934510,P2,7.9
C934510,TR,0.9
C934510,LT,8.6
C687291,P1,5.3
C687291,P2,1.2
C687291,TR,8.7
C687291,LT,0.6
C271095,P1,6
C271095,P2,10
C271095,TR,6
C271095,LT,5.2
C931840,P1,4.9
C931840,P2,2.8
C931840,TR,4.7
C931840,LT,5.1
C205687,P1,5.7
C205687,P2,6.4
C205687,TR,2.1
C205687,LT,0.7
