id;P2
C210987;0.2
C476201;6.7
C026318;2.1
C342650;7.3
C479805;3.3
C378625;2.6
C954367;4.4
C480723;3.3
C036179;1.8
C951437;7
C397208;4.7
C180467;6.6
C913587;1.5
C538260;5
C154379;6.8
C643592;2.6
C409237;5.2
C497835;4.9
C273465;2.8
C824013;6.6
C302568;4.9
C402819;6.7
C481269;4.3
C760231;8.7
C705624;10
C290175;1.4
C074965;5.7
C624807;3.3
C079286;4.1
C246351;4.4
C156790;5.5
C780196;6.4
C470352;4
C230691;5.4
C276583;2.7
C872306;5
C274508;5.7
C614587;5.3
C438062;3.8
C592608;5.2
C861947;4.3
C214790;4.4
C805697;7.7
C198532;4.7
C180325;8.8
C934510;7.9
C687291;1.2
C271095;10
C931840;2.8
C205687;6.4
